participant, trial, cashIn, pop, totalTokens,  pressCount, tokensGained, duration, reactionTime
100,15,0,0,11,228,1,0.1000549792999994,0
100,15,0,0,12,229,1,0.15000486380000133,0
100,15,0,0,14,230,2,0.45004987719999967,0
100,15,0,0,15,231,1,0.09997892380000017,0
100,15,0,0,16,232,1,0.04993391030000005,0
100,15,0,0,17,233,1,0.05005383489999815,0
100,15,0,0,18,234,1,0.0667338371000028,0
100,15,0,0,19,235,1,0.11655902869999935,0
100,15,0,0,20,236,1,0.08334016799999944,0
100,16,0,0,1,237,-19,345.0270078186,0
100,16,0,0,2,238,1,0.09998416900003804,0
100,16,0,0,3,239,1,0.04991698200001338,0
100,16,0,0,4,240,1,0.09995317400000658,0
100,16,0,0,5,241,1,0.05001902499998323,0
100,16,0,0,6,242,1,0.1000521180000078,0
100,16,0,0,7,243,1,0.08329701399998157,0
100,16,0,0,8,244,1,0.06664585999999417,0
100,16,0,0,9,245,1,0.06671094899996888,0
100,16,0,0,10,246,1,0.11669993399999612,0
100,16,0,0,11,247,1,0.06668305400000918,0
100,16,0,0,12,248,1,0.11662292500000149,0
100,16,0,0,13,249,1,0.08337688400001753,0
100,16,0,0,14,250,1,0.10003304500003196,0
100,16,0,0,15,251,1,0.08334803499997179,0
100,16,0,0,16,252,1,0.09992194200003723,0
100,16,0,0,17,253,1,0.1000308989999894,0
100,16,0,0,18,254,1,0.11666703200000939,0
100,16,0,0,19,255,1,0.08340716399999337,0
100,16,0,0,20,256,1,0.10009598699997468,0
100,16,0,0,21,257,1,0.10003685999998879,0
100,16,0,0,22,258,1,0.06673407600004566,0
100,18,0,0,5,259,5,263.7449948789,0
100,18,0,0,6,260,1,0.1500489709999897,0
100,18,0,0,7,261,1,0.13333606699995926,0
100,18,0,0,10,262,3,0.6000051500000154,0
100,18,0,0,11,263,1,0.09993314700000155,0
100,18,0,0,12,264,1,0.1165599820000125,0
100,18,0,0,13,265,1,0.06658983300002319,0
100,19,0,0,5,266,-8,-265.0065999034,0
100,19,0,0,6,267,1,0.1333029271000008,0
100,19,0,0,7,268,1,0.10008192060000098,0
100,19,0,0,8,269,1,0.06665110580000011,0
100,19,0,0,9,270,1,0.03336787219999948,0
100,19,0,0,10,271,1,0.08327889439999936,0
100,19,0,0,11,272,1,0.05003404609999862,0
100,19,0,0,12,273,1,0.09993696210000103,0
100,19,0,0,13,274,1,0.09998702999999942,0
100,19,0,0,14,275,1,0.09989905359999973,0
100,19,0,0,15,276,1,0.08334183689999897,0
100,19,0,0,16,277,1,0.0999329090000014,0
100,19,0,0,17,278,1,0.10001111029999876,0
100,19,0,0,18,279,1,0.08335995670000074,0
100,19,0,0,19,280,1,0.06680798530000054,0
100,19,0,0,20,281,1,0.10002899170000035,0
100,20,0,0,6,282,6,1.000081777000048,0
100,20,0,0,7,283,1,0.08343791900000497,0
100,20,0,0,8,284,1,0.08341884600002913,0
100,20,0,0,9,285,1,0.0666220189999649,0
100,20,0,0,10,286,1,0.050086974999999256,0
100,20,0,0,11,287,1,0.050063133000037396,0
100,20,0,0,12,288,1,0.04997301100002005,0
100,20,0,0,13,289,1,0.06674885699999322,0
100,20,0,0,14,290,1,0.06669092200002069,0
100,20,0,0,15,291,1,0.04997897099997317,0
100,20,0,0,16,292,1,0.06667613999997002,0
100,20,0,0,17,293,1,0.05003094699998201,0
100,20,0,0,18,294,1,0.08335804899996901,0
100,20,0,0,19,295,1,0.05008196799997222,0
100,20,0,0,20,296,1,0.08328080199999022,0
100,20,0,0,21,297,1,0.08335185099997489,0
100,20,0,0,22,298,1,0.06669712000001482,0
100,20,0,0,23,299,1,0.08328700099997377,0
100,20,0,0,24,300,1,0.09994101500001307,0
100,20,0,0,25,301,1,0.10000085799998715,0
